Country Name,Country Code,Year,Methane
"Congo, Dem. Rep.",COD,2001,15.7731
"Congo, Rep.",COG,2001,15.3688
Costa Rica,CRI,2001,4.3372
Cote d'Ivoire,CIV,2001,7.4198
Croatia,HRV,2001,3.5755
Cuba,CUB,2001,13.0535
Cyprus,CYP,2001,0.8511
Czechia,CZE,2001,15.3305
Denmark,DNK,2001,9.3598
Djibouti,DJI,2001,0.9275
Dominica,DMA,2001,0.0498
Dominican Republic,DOM,2001,6.9839
Ecuador,ECU,2001,18.6566
"Egypt, Arab Rep.",EGY,2001,58.8157
El Salvador,SLV,2001,3.6958
Equatorial Guinea,GNQ,2001,9.6669
Eritrea,ERI,2001,3.5478
Estonia,EST,2001,2.4557
Eswatini,SWZ,2001,1.5907
Ethiopia,ETH,2001,59.4459
Euro area,EMU,2001,402.3717
Faroe Islands,FRO,2001,0.038
Fiji,FJI,2001,1.0286
Finland,FIN,2001,9.3027
France,FRA,2001,81.3326
French Polynesia,PYF,2001,0.0622
Gabon,GAB,2001,20.864
"Gambia, The",GMB,2001,0.7545
Georgia,GEO,2001,4.7904
Germany,DEU,2001,92.7394
Ghana,GHA,2001,7.4322
Gibraltar,GIB,2001,0.0122
Greece,GRC,2001,12.3178
Greenland,GRL,2001,0.0553
Grenada,GRD,2001,0.0383
Guam,GUM,2001,0.011
Guatemala,GTM,2001,9.6203
Guinea,GIN,2001,7.2291
Guinea-Bissau,GNB,2001,1.3724
Guyana,GUY,2001,1.48
Haiti,HTI,2001,6.7816
Honduras,HND,2001,4.9585
"Hong Kong SAR, China",HKG,2001,3.858
Hungary,HUN,2001,11.6086
Iceland,ISL,2001,0.5977
India,IND,2001,673.5726
Indonesia,IDN,2001,174.1948
"Iran, Islamic Rep.",IRN,2001,121.4161
Iraq,IRQ,2001,75.2369
Ireland,IRL,2001,20.1242
Israel,ISR,2001,6.2771
Italy,ITA,2001,51.2127
Jamaica,JAM,2001,1.254
Japan,JPN,2001,55.8051
Jordan,JOR,2001,2.3171
Kazakhstan,KAZ,2001,35.3589
Kenya,KEN,2001,26.3666
Kiribati,KIR,2001,0.016
"Korea, Dem. People's Rep.",PRK,2001,23.5016
"Korea, Rep.",KOR,2001,35.793
Kuwait,KWT,2001,29.1474
Kyrgyz Republic,KGZ,2001,5.0231
Lao PDR,LAO,2001,6.8275
Latvia,LVA,2001,2.1203
Lebanon,LBN,2001,2.0146
Lesotho,LSO,2001,1.72
Liberia,LBR,2001,1.5289
Libya,LBY,2001,37.5558
Lithuania,LTU,2001,4.4251
Luxembourg,LUX,2001,0.6499
"Macao SAR, China",MAC,2001,0.0312
Madagascar,MDG,2001,17.2276
Malawi,MWI,2001,3.7644
Malaysia,MYS,2001,21.2858
Maldives,MDV,2001,0.051
Mali,MLI,2001,11.5336
Malta,MLT,2001,0.2192
Marshall Islands,MHL,2001,0.0025
Mauritania,MRT,2001,6.5271
Mauritius,MUS,2001,0.5158
Mexico,MEX,2001,132.6221
"Micronesia, Fed. Sts.",FSM,2001,0.0306
Moldova,MDA,2001,2.2734
Mongolia,MNG,2001,10.3098
Morocco,MAR,2001,18.3956
Mozambique,MOZ,2001,5.5074
Myanmar,MMR,2001,67.4338
Namibia,NAM,2001,4.624
Nauru,NRU,2001,0.0008
Nepal,NPL,2001,21.9024
Netherlands,NLD,2001,28.1749
New Caledonia,NCL,2001,0.2302
New Zealand,NZL,2001,38.3507
Nicaragua,NIC,2001,6.4761
Niger,NER,2001,12.1623
Nigeria,NGA,2001,261.237
North Macedonia,MKD,2001,1.7612
Northern Mariana Islands,MNP,2001,0.0035
Norway,NOR,2001,9.0767
Oman,OMN,2001,26.7066
Other small states,OSS,2001,11.8859
Pakistan,PAK,2001,126.1241
Palau,PLW,2001,0.0764
Panama,PAN,2001,3.9782
Papua New Guinea,PNG,2001,2.0898
Paraguay,PRY,2001,17.3377
Peru,PER,2001,21.1883
Philippines,PHL,2001,48.9884
Poland,POL,2001,69.0364
Portugal,PRT,2001,11.7008
Puerto Rico (US),PRI,2001,2.0284
Qatar,QAT,2001,23.375
Romania,ROU,2001,20.7229
Russian Federation,RUS,2001,302.48
Rwanda,RWA,2001,2.7801
Samoa,WSM,2001,0.1505
Sao Tome and Principe,STP,2001,0.051
Saudi Arabia,SAU,2001,71.5608
Senegal,SEN,2001,7.2993
Seychelles,SYC,2001,0.0465
Sierra Leone,SLE,2001,2.5098
Singapore,SGP,2001,2.1103
Slovak Republic,SVK,2001,6.1006
Slovenia,SVN,2001,3.8598
Small states,SST,2001,21.3106
Solomon Islands,SLB,2001,0.1474
"Somalia, Fed. Rep.",SOM,2001,22.8662
Spain,ESP,2001,44.5313
Sri Lanka,LKA,2001,8.7618
St. Kitts and Nevis,KNA,2001,0.0377
St. Lucia,LCA,2001,0.0621
St. Vincent and the Grenadines,VCT,2001,0.0415
Sudan,SDN,2001,69.5547
Suriname,SUR,2001,0.9119
Sweden,SWE,2001,10.4661
Switzerland,CHE,2001,5.2673
Syrian Arab Republic,SYR,2001,26.8948
Tajikistan,TJK,2001,3.8076
Tanzania,TZA,2001,26.3456
Thailand,THA,2001,73.8232
Timor-Leste,TLS,2001,0.6495
Togo,TGO,2001,2.8869
Tonga,TON,2001,0.0877
Tunisia,TUN,2001,8.329
Turkiye,TUR,2001,48.7896
Turkmenistan,TKM,2001,18.2925
Turks and Caicos Islands,TCA,2001,0.0081
Tuvalu,TUV,2001,0.0024
Uganda,UGA,2001,14.2121
Ukraine,UKR,2001,79.0737
United Arab Emirates,ARE,2001,23.5917
United Kingdom,GBR,2001,116.3876
United States,USA,2001,828.2418
Uruguay,URY,2001,23.1866
Uzbekistan,UZB,2001,36.8368
Vanuatu,VUT,2001,0.328
"Venezuela, RB",VEN,2001,74.1559
Viet Nam,VNM,2001,90.106
Virgin Islands (U.S.),VIR,2001,0.0191
"Yemen, Rep.",YEM,2001,12.9202
Zambia,ZMB,2001,7.3591
Zimbabwe,ZWE,2001,12.0771
Afghanistan,AFG,2002,11.5624
Albania,ALB,2002,2.9339
Algeria,DZA,2002,48.026
Angola,AGO,2002,44.0798
Antigua and Barbuda,ATG,2002,0.0754
Argentina,ARG,2002,127.743
Armenia,ARM,2002,2.0655
Aruba,ABW,2002,0.0735
Australia,AUS,2002,143.0235
Austria,AUT,2002,11.098
Azerbaijan,AZE,2002,9.4447
"Bahamas, The",BHS,2002,0.2393
Bahrain,BHR,2002,18.1905
Bangladesh,BGD,2002,57.8131
Barbados,BRB,2002,0.192
Belarus,BLR,2002,16.15
Belgium,BEL,2002,15.0756
Belize,BLZ,2002,0.2975
Benin,BEN,2002,3.546
Bermuda,BMU,2002,0.0217
Bhutan,BTN,2002,0.8045
Bolivia,BOL,2002,17.0936
Bosnia and Herzegovina,BIH,2002,3.4954
Botswana,BWA,2002,3.9235
Brazil,BRA,2002,441.4811
British Virgin Islands,VGB,2002,0.0094
Brunei Darussalam,BRN,2002,2.1326
Bulgaria,BGR,2002,8.858
Burkina Faso,BFA,2002,11.2856
Burundi,BDI,2002,2.1115
Cabo Verde,CPV,2002,0.1839
Cambodia,KHM,2002,15.9219
Cameroon,CMR,2002,19.0488
Canada,CAN,2002,132.6691
Cayman Islands,CYM,2002,0.0166
Chad,TCD,2002,21.9968
Chile,CHL,2002,20.8836
China,CHN,2002,1036.3258
Colombia,COL,2002,75.2607
Comoros,COM,2002,0.2896
"Congo, Dem. Rep.",COD,2002,15.828
"Congo, Rep.",COG,2002,9.9757
Costa Rica,CRI,2002,4.2603
Cote d'Ivoire,CIV,2002,7.5968
Croatia,HRV,2002,3.5773
Cuba,CUB,2002,13.0377
Cyprus,CYP,2002,0.8833
Czechia,CZE,2002,15.1509
Denmark,DNK,2002,9.1997
Djibouti,DJI,2002,0.9333
Dominica,DMA,2002,0.0498
Dominican Republic,DOM,2002,7.2211
Ecuador,ECU,2002,18.6462
"Egypt, Arab Rep.",EGY,2002,60.6133
El Salvador,SLV,2002,3.8471
Equatorial Guinea,GNQ,2002,7.193
Eritrea,ERI,2002,3.5229
Estonia,EST,2002,2.4447
Eswatini,SWZ,2002,1.6456
Ethiopia,ETH,2002,65.3992
Euro area,EMU,2002,398.1239
Faroe Islands,FRO,2002,0.0381
Fiji,FJI,2002,0.9964
Finland,FIN,2002,9.1922
France,FRA,2002,80.2919
French Polynesia,PYF,2002,0.0582
Gabon,GAB,2002,20.1737
"Gambia, The",GMB,2002,0.7624
Georgia,GEO,2002,4.857
Germany,DEU,2002,89.2482
Ghana,GHA,2002,7.5747
Gibraltar,GIB,2002,0.0122
Greece,GRC,2002,12.4409
Greenland,GRL,2002,0.0552
Grenada,GRD,2002,0.0386
Guam,GUM,2002,0.0111
Guatemala,GTM,2002,10.1763
Guinea,GIN,2002,7.4953
Guinea-Bissau,GNB,2002,1.387
Guyana,GUY,2002,1.374
Haiti,HTI,2002,6.858
Honduras,HND,2002,5.6906
"Hong Kong SAR, China",HKG,2002,3.8644
Hungary,HUN,2002,11.7197
Iceland,ISL,2002,0.5961
India,IND,2002,668.4194
